Gene ID;Entrez Gene ID;Gene Symbol;Gene Name;Organism;Unigene ID;Ensembl ID;UniProt ID;Alias;Lifespan Effect;Phenotype Description;Longevity Influence;Max Lifespan Change;Avg Lifespan Change;Method;Bibliographic reference
366;40049;Indy;I'm not dead yet protein;Drosophila melanogaster;Dm.2528;FBgn0036816;;anon-EST:fe3A7 anon-WO0172774.70 BEST:LP01220 CG39;increase;Flies heterozygotic for a disruption have extended mean (87-92%) lifespan and maximum lifespan (45%). Homozygotes for the disruption show only a 10-20% increase in mean lifespan.;anti;45;92;Knockout;2173: Rogina et al. (2000) "Extended life-span conferred by cotransporter gene mutations in Drosophila."  Science 290(5499):2137-2140 (11118146)
367;175966;inf-1;INitiation Factor;Caenorhabditis elegans;Cel.6803;F57B9.6;;;increase;RNA interference in adulthood resulted in a up to 46% mean lifespan extension.;anti;;46;RNA interference;2247: Curran and Ruvkun (2007) "Lifespan regulation by evolutionarily conserved genes essential for viability."  PLoS Genet. 3(4):e56 (17411345)
367;175966;inf-1;INitiation Factor;Caenorhabditis elegans;Cel.6803;F57B9.6;;;decrease;Post developmental RNAi resulted in a 10% mean lifespan reduction.;pro;;10;RNA interference;2268: Dong et al. (2007) "Quantitative mass spectrometry identifies insulin signaling targets in C. elegans."  Science 317(5838):660-663 (17673661)
367;175966;inf-1;INitiation Factor;Caenorhabditis elegans;Cel.6803;F57B9.6;;;increase;RNA interference of inf-1 results in an increased lifespan.;anti;;21.4;RNA interference;3567: Reis-Rodrigues et al. (2012) "Proteomic analysis of age-dependent changes in protein solubility identifies genes that modulate lifespan."  Aging Cell 11(1):120-127 (22103665)
1564;856442;INM1;INositol Monophosphatase;Saccharomyces cerevisiae;;YHR046C;;;increase;Replicative lifespan increased ;anti;;;Deletion;1570: Kaeberlein et al. (2005) "Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients."  Science 310(5751):1193-1196 (16293764)
1564;856442;INM1;INositol Monophosphatase;Saccharomyces cerevisiae;;YHR046C;;;increase;Replicative lifespan increased by 50% in the alpha strain;anti;;50;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1564;856442;INM1;INositol Monophosphatase;Saccharomyces cerevisiae;;YHR046C;;;decrease;Replicative lifespan decreased by 10% in a strain;fitness;;10;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1601;851881;INM2;INositol Monophosphatase;Saccharomyces cerevisiae;;YDR287W;;;decrease;Replicative lifespan decreased by 70% in the alpha strain ;fitness;;70;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1240;854042;INO4;INOsitol requiring;Saccharomyces cerevisiae;;YOL108C;;;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1625;854815;INP51;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YIL002C;;SJL1;increase;Replicative lifespan increased by 10% in the alpha strain and in a strain;anti;;10;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1625;854815;INP51;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YIL002C;;SJL1;increase;Replicative lifespan increased by 10% in the alpha strain and in a strain;anti;;10;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1367;854276;INP53;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YOR109W;;SJL3 SOP2;decrease;Mean chronological lifespan decreased in the a strain by less than 50% but more than 15%;fitness;;50;Deletion;2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
1367;854276;INP53;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YOR109W;;SJL3 SOP2;decrease;Replicative lifespan decreased ;fitness;;;Deletion;1570: Kaeberlein et al. (2005) "Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients."  Science 310(5751):1193-1196 (16293764)
1367;854276;INP53;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YOR109W;;SJL3 SOP2;decrease;Replicative lifespan decreased by 30% in the alpha strain and by 10% in the a strain ;fitness;;30;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1520;854089;INP54;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YOL065C;;;increase;Replicative lifespan increased by 15% in the alpha strain;anti;;15;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1520;854089;INP54;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YOL065C;;;decrease;Replicative lifespan decreased by 15% in the a strain ;fitness;;15;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1520;854089;INP54;INositol polyphosphate 5-Phosphatase;Saccharomyces cerevisiae;;YOL065C;;;increase;Replicative lifespan increased by 30% in the alpha strain ;anti;;30;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
368;42549;InR;Insulin-like 1 receptor;Drosophila melanogaster;Dm.1271;FBgn0013984;;18402 CG18402 DIHR DILR dinr dInr dInR dINR DInr D;increase;Mutations result in dwarf females with extended lifespan of up to 85% and dwarf males with reduced late age-specific mortality.;anti;;85;Mutation;187: Tatar et al. (2001) "A mutant Drosophila insulin receptor homolog that extends life-span and impairs neuroendocrine function."  Science 292(5514):107-110 (11292875)
369;177936;ins-1;INSulin related;Caenorhabditis elegans;Cel.19650;F13B12.5;;;increase;Increased dosage increases lifespan by 25%.;pro;;25;Overexpression;960: Pierce et al. (2001) "Regulation of DAF-2 receptor signaling by human insulin and ins-1, a member of the unusually large and diverse C. elegans insulin gene family."  Genes Dev. 15(6):672-686 (11274053)
370;172600;ins-18;INSulin related;Caenorhabditis elegans;Cel.19488;T28B8.2;;;increase;RNA interference extends lifespan.;anti;;;RNA interference;315: Murphy et al. (2003) "Genes that act downstream of DAF-16 to influence the lifespan of Caenorhabditis elegans."  Nature 424(6946):277-283 (12845331)
371;191689;ins-21;INSulin related;Caenorhabditis elegans;Cel.28731;M04D8.1;;;increase;RNA interference extends lifespan.;anti;;;RNA interference;315: Murphy et al. (2003) "Genes that act downstream of DAF-16 to influence the lifespan of Caenorhabditis elegans."  Nature 424(6946):277-283 (12845331)
372;191688;ins-7;INSulin related;Caenorhabditis elegans;Cel.35637;ZK1251.2;;;increase;RNA interference extends lifespan.;anti;;;RNA interference;315: Murphy et al. (2003) "Genes that act downstream of DAF-16 to influence the lifespan of Caenorhabditis elegans."  Nature 424(6946):277-283 (12845331)
372;191688;ins-7;INSulin related;Caenorhabditis elegans;Cel.35637;ZK1251.2;;;increase;Post developmental RNAi resulted in a 12% mean lifespan extension.;anti;;12;RNA interference;2421: Oliveira et al. (2009) "Condition-adapted stress and longevity gene regulation by Caenorhabditis elegans SKN-1/Nrf."  Aging Cell 8(5):524-541 (19575768)
373;16337;Insr;Insulin receptor;Mus musculus;Mm.268003;ENSMUSG00000005534;P15208;IR IR-A IR-B CD220 4932439J01Rik D630014A15Rik;increase;Homologous murine model was created by replacing Pro-1195 of insulin receptors with Leu. Homozygous mice died in the neonatal stage from diabetic ketoacidosis, whereas heterozygous mice showed the suppressed kinase activity of the insulin receptor but grew normally without spontaneously developing diabetes during adulthood. Under 80% oxygen, mutant female mice survived 33.3% longer than wild-type female mice, whereas mutant male mice survived 18.2% longer than wild-type male mice.;anti;;33.3;Mutations;2465: Baba et al. (2005) "Estrogen, insulin, and dietary signals cooperatively regulate longevity signals to enhance resistance to oxidative stress in mice."  J. Biol. Chem. 280(16):16417-16426 (15713666)
373;16337;Insr;Insulin receptor;Mus musculus;Mm.268003;ENSMUSG00000005534;P15208;IR IR-A IR-B CD220 4932439J01Rik D630014A15Rik;increase;Deletion in adipose tissue increased lifespan.;anti;;;Deletion;178: Blüher et al. (2003) "Extended longevity in mice lacking the insulin receptor in adipose tissue."  Science 299(5606):572-574 (12543978)
374;172488;inx-14;INneXin;Caenorhabditis elegans;Cel.22679;F07A5.1;;;increase;RNA interference increases lifespan.;anti;;;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
375;178101;inx-8;INneXin;Caenorhabditis elegans;Cel.12706;ZK792.2;;;increase;RNA interference increased mean lifespan by 19%.;anti;;19;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
376;191694;inx-9;INneXin;Caenorhabditis elegans;Cel.12705;ZK792.3;;;increase;RNA interference in adulthood resulted in a 28% mean lifespan extension.;anti;;28;RNA interference;2247: Curran and Ruvkun (2007) "Lifespan regulation by evolutionarily conserved genes essential for viability."  PLoS Genet. 3(4):e56 (17411345)
376;191694;inx-9;INneXin;Caenorhabditis elegans;Cel.12705;ZK792.3;;;increase;RNAi resulted in a 21% mean lifespan extension.;anti;;21;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
1565;851910;IPK1;Inositol Polyphosphate Kinase;Saccharomyces cerevisiae;;YDR315C;;GSL1;increase;Replicative lifespan increased ;anti;;;Deletion;1570: Kaeberlein et al. (2005) "Regulation of yeast replicative life span by TOR and Sch9 in response to nutrients."  Science 310(5751):1193-1196 (16293764)
1565;851910;IPK1;Inositol Polyphosphate Kinase;Saccharomyces cerevisiae;;YDR315C;;GSL1;increase;Replicative lifespan increased by 40% in the alpha strain ;anti;;40;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1428;851644;IPT1;InositolPhosphoTransferase;Saccharomyces cerevisiae;;YDR072C;;KTI6 SYR4;decrease;Replicative lifespan decreased by 30% in the alpha strain ;fitness;;30;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1428;851644;IPT1;InositolPhosphoTransferase;Saccharomyces cerevisiae;;YDR072C;;KTI6 SYR4;increase;Chronological lifespan increased by 40%;anti;;40;Deletion;2519: Aerts et al. (2006) "Level of M(IP)2C sphingolipid affects plant defensin sensitivity, oxidative stress resistance and chronological life-span in yeast."  FEBS Lett. 580(7):1903-1907 (16527275)
948;174305;ire-1;IRE1 kinase related;Caenorhabditis elegans;;C41C4.4;;;decrease;Average lifespan decreased by 20% compared to wild type.;pro;;20;Mutation;2443: Henis-Korenblit et al. (2010) "Insulin/IGF-1 signaling mutants reprogram ER stress response regulators to promote longevity."  Proc. Natl. Acad. Sci. U.S.A. 107(21):9730-9735 (20460307)
2148;42358;Ire1;Inositol-requiring enzyme-1;Drosophila melanogaster;;;;;decrease;Whole body depletion of Ire1 using RNA interference reduced the lifespan of flies and negated the lifespan extending effects of dietary restriction. This effect was found to be tissue specific, Ire1 expression in the midgut is required for starvation tolerance and lifespan extension. ;pro;;;RNA interference;4380: Luis et al. (2016) "Intestinal IRE1 Is Required for Increased Triglyceride Metabolism and Longer Lifespan under Dietary Restriction."  Cell Rep 17(5):1207-1216 (27783936)
377;16367;Irs1;insulin receptor substrate 1;Mus musculus;Mm.4952;ENSMUSG00000055980;P35569;G972R IRS-1;increase;Median lifespan was extended 18% in knockouts from both sexes and 32% in females. Female animals displayed signs of resistance to ageing markers in skin, bone, immune system, and motor dysfunction, in spite of mild, lifelong insulin resistance. Heterozygous animals had normal lifespans.;anti;;18;Knockout;1924: Selman et al. (2008) "Evidence for lifespan extension and delayed age-related biomarkers in insulin receptor substrate 1 null mice."  FASEB J. 22(3):807-818 (17928362)
378;384783;Irs2;insulin receptor substrate 2;Mus musculus;Mm.407207;ENSMUSG00000038894;P81122;Irs-2;increase;Irs2 brain-specific knockout mice were overweight, hyperinsulinemic, glucose intolerant, yet more active and lived up to 18% longer.;anti;;18;Knockout;1919: Taguchi et al. (2007) "Brain IRS2 signaling coordinates life span and nutrient homeostasis."  Science 317(5836):369-372 (17641201)
1241;856739;ISC1;Inositol phosphoSphingolipid phospholipase C;Saccharomyces cerevisiae;;YER019W;;;decrease;Chronological lifespan decreased;pro;;;Deletion;2507: Almeida et al. (2008) "Isc1p plays a key role in hydrogen peroxide resistance and chronological lifespan through modulation of iron levels and apoptosis."  Mol. Biol. Cell 19(3):865-876 (18162582)
1241;856739;ISC1;Inositol phosphoSphingolipid phospholipase C;Saccharomyces cerevisiae;;YER019W;;;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1706;856067;ISM1;Isoleucyl tRNA Synthetase of Mitochondria;Saccharomyces cerevisiae;;YPL040C;;;increase;Replicative lifespan increased by 15% in the alpha strain;anti;;15;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
1706;856067;ISM1;Isoleucyl tRNA Synthetase of Mitochondria;Saccharomyces cerevisiae;;YPL040C;;;decrease;Replicative lifespan decreased by 20% in the a strain;fitness;;20;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
379;177609;isp-1;Iron-Sulfur Protein;Caenorhabditis elegans;Cel.8806;F42G8.12;;;increase;A missense mutation leads to low oxygen consumption, decreased sensitivity to reactive oxygen species, and increased mean (60%) and maximum (100%) lifespan.;;100;60;Mutation;2314: Feng et al. (2001) "Mitochondrial electron transport is a key determinant of life span in Caenorhabditis elegans."  Dev. Cell 1(5):633-644 (11709184)
379;177609;isp-1;Iron-Sulfur Protein;Caenorhabditis elegans;Cel.8806;F42G8.12;;;increase;Treating the respiratory mutant isp-1(qm150) with rps-15 or S6K/rsks-1 RNAi further extended its lifespan by 25-30%.;anti;;;RNA interference;2312: Hansen et al. (2007) "Lifespan extension by conditions that inhibit translation in Caenorhabditis elegans."  Aging Cell 6(1):95-9110 (17266679)
1397;852547;ISW1;Imitation SWitch subfamily;Saccharomyces cerevisiae;;YBR245C;;SGN2;decrease;Replicative lifespan decreased by 35% in the alpha strain ;fitness;;35;Deletion;2503: Managbanag et al. (2008) "Shortest-path network analysis is a useful approach toward identifying genetic determinants of longevity."  PLoS ONE 3(11):e3802 (19030232)
1397;852547;ISW1;Imitation SWitch subfamily;Saccharomyces cerevisiae;;YBR245C;;SGN2;increase;Mean chronological lifespan increased in the a strain ;anti;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1966;854480;ISW2;Isw2p;Saccharomyces cerevisiae;;;;;increase;Deletion of ISW2 in yeast extends replicative lifespan by 24%.;anti;;24;Deletion;3477: Dang et al. (2014) "Inactivation of yeast Isw2 chromatin remodeling enzyme mimics longevity effect of calorie restriction via induction of genotoxic stress response."  Cell Metab. 19(6):952-966 (24814484)
1967;852744;ITC1;Itc1p;Saccharomyces cerevisiae;;;;;increase;Deletion of ITC1 in yeast extends replicative lifespan by 18%.;anti;;18;Deletion;3477: Dang et al. (2014) "Inactivation of yeast Isw2 chromatin remodeling enzyme mimics longevity effect of calorie restriction via induction of genotoxic stress response."  Cell Metab. 19(6):952-966 (24814484)
949;177546;itr-1;Inositol Triphosphate Receptor;Caenorhabditis elegans;;F33D4.2;;;increase;Increased ITR-1 activity extends median and maximum lifespan (53% increase of median lifespan, 29% increase of maximum lifespan), whereas reduced ITR-1 activity shortens culture survival (i.e., -11% increase of median lifespan, -31% increase of maximum lifespan);pro;29;53;Overexpression or mutations;2440: Iwasa et al. (2010) "Novel EGF pathway regulators modulate C. elegans healthspan and lifespan via EGF receptor, PLC-gamma, and IP3R activation."  Aging Cell 9(4):490-505 (20497132)
1076;850710;IZH3;Implicated in Zinc Homeostasis;Saccharomyces cerevisiae;;YLR023C;;;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
856;53578;Jafrac1;Thioredoxin peroxidase 1;Drosophila melanogaster;;FBgn0040309;;1633 CG1633 cTPx Dmel\CG1633 DmTPx-1 dPrx I Dpx-47;increase;Neuronal overexpression of Jafrac1 significantly increased both mean and maximal lifespan, while neuronal knockdown of Jafrac1 , as well as the loss-of-function mutation, caused a reduction in lifespan of up to 30%.;pro;26;29;Overexpression;2399: Lee et al. (2009) "JNK/FOXO-mediated neuronal expression of fly homologue of peroxiredoxin II reduces oxidative stress and extends life span."  J. Biol. Chem. 284(43):29454-29461 (19720829)
856;53578;Jafrac1;Thioredoxin peroxidase 1;Drosophila melanogaster;;FBgn0040309;;1633 CG1633 cTPx Dmel\CG1633 DmTPx-1 dPrx I Dpx-47;increase;Overexpression caused a 15% mean lifespan extension.;pro;;15;Overexpression;2385: Biteau et al. (2010) "Lifespan extension by preserving proliferative homeostasis in Drosophila."  PLoS Genet. 6(10):e1001159 (20976250)
2090;34624;JhI-21;CG12317-PA;Drosophila melanogaster;;;;;increase;Flies were subjected to several control diets: sucrose only, yeast only and fixed diet. Flies were also subjected to a choice diet. JhI-21 mutants on a fixed diet showed a modest increase in lifespan of 13%. When JhI-21 mutants were aged in a choice environment there was a 32% increase in mean lifespan.;anti;;32;Deletion;4393: Ro et al. (2016) "Serotonin signaling mediates protein valuation and aging."  Elife 5: (27572262)
1242;856174;JID1;DnaJ protein Involved in ER-associated Degradation;Saccharomyces cerevisiae;;YPR061C;;;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
380;180810;jkk-1;JNK Kinase;Caenorhabditis elegans;Cel.7913;F35C8.3;;;decrease;May regulate daf-16. Mutations result in a shortened lifespan.;60: Oh et al. (2005) "JNK regulates lifespan in Caenorhabditis elegans by modulating nuclear translocation of forkhead transcription factor/DAF-16."  Proc. Natl. Acad. Sci. U.S.A. 102(12):4494-4499 (15767565)
2058;175080;jmjd-2;Lysine-specific demethylase 4;Caenorhabditis elegans;7096;;;;increase;RNA inteference of jmjd-2 results in an incrased lifespan of up to 13%, depending on temperature.;anti;;13;RNA interference;3570: Ni et al. (2012) "Two SET domain containing genes link epigenetic changes and aging in Caenorhabditis elegans."  Aging Cell 11(2):315-325 (22212395)
381;177460;jnk-1;Jun N-terminal Kinase;Caenorhabditis elegans;Cel.18197;B0478.1;;;increase;Overexpression increases lifespan by 40%.;pro;;40;Overexpression;60: Oh et al. (2005) "JNK regulates lifespan in Caenorhabditis elegans by modulating nuclear translocation of forkhead transcription factor/DAF-16."  Proc. Natl. Acad. Sci. U.S.A. 102(12):4494-4499 (15767565)
381;177460;jnk-1;Jun N-terminal Kinase;Caenorhabditis elegans;Cel.18197;B0478.1;;;decrease;Mutant worms have a 30% shortened maximal lifespan.;pro;30;;Mutation;2450: Neumann-Haefelin et al. (2008) "SHC-1/p52Shc targets the insulin/IGF-1 and JNK signaling pathways to modulate life span and stress response in C. elegans."  Genes Dev. 22(19):2721-2735 (18832074)
1077;855339;JNM1;Just Nuclear Migration;Saccharomyces cerevisiae;;YMR294W;;INS1 PAC3;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
821;16478;Jund;Jun proto-oncogene related gene d;Mus musculus;;ENSMUSG00000071076;;Jund1;decrease;junD -/- mice exhibit features of premature aging (cataracts, slight hair loss, graying, varying degrees of cachexia, and lordokyphosis), and shortened lifespan. They also display persistent hypoglycemia due to enhanced insulin secretion. Mice also developed various types of neoplasia (most frequent cause of death being high-grade diffuse lymphomas) at similar frequency as in old WT mice.;pro;14;17;Knockout;2136: Laurent et al. (2008) "Oxidative stress contributes to aging by enhancing pancreatic angiogenesis and insulin signaling."  Cell Metab. 7(2):113-124 (18249171)
383;186841;K01C8.7;Protein K01C8.7;Caenorhabditis elegans;Cel.14837;K01C8.7;;;increase;RNA interference extends lifespan by about 20%.;anti;;20;RNA interference;2235: Lee et al. (2003) "A systematic RNAi screen identifies a critical role for mitochondria in C. elegans longevity."  Nat. Genet. 33(1):40-48 (12447374)
385;177624;K07H8.1;Protein K07H8.1;Caenorhabditis elegans;Cel.12664;K07H8.1;;;increase;RNA interference extends lifespan.;anti;;;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
386;187128;K07H8.8;Protein K07H8.8;Caenorhabditis elegans;Cel.12659;K07H8.8;;;increase;RNA interference increased mean lifespan by 22%.;anti;;22;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
388;176814;K08E3.5;Protein K08E3.5;Caenorhabditis elegans;Cel.17583;K08E3.5;;;increase;RNA interference extends lifespan.;anti;;;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
389;173397;K10B4.3;Protein K10B4.3;Caenorhabditis elegans;Cel.6710;K10B4.3;;;increase;RNA interference extends lifespan.;anti;;;RNA interference;2236: Hamilton et al. (2005) "A systematic RNAi screen for longevity genes in C. elegans."  Genes Dev. 19(13):1544-1555 (15998808)
392;173349;K11B4.1;Protein K11B4.1;Caenorhabditis elegans;Cel.18463;K11B4.1;;;increase;RNA interference in adulthood resulted in a 16% mean lifespan extension.;anti;;16;RNA interference;2246: Chen et al. (2007) "Longevity determined by developmental arrest genes in Caenorhabditis elegans."  Aging Cell 6(4):525-533 (17521386)
393;178892;K11D12.9;Protein K11D12.9;Caenorhabditis elegans;Cel.3015;K11D12.9;;;decrease;RNA interference decreased median lifespan by 22% in daf-2 mutants.;pro;;;RNA interference;2239: Samuelson et al. (2007) "Gene activities that mediate increased life span of C. elegans insulin-like signaling mutants."  Genes Dev. 21(22):2976-2994 (18006689)
394;187337;K12H4.5;Protein K12H4.5;Caenorhabditis elegans;Cel.18103;K12H4.5;;;increase;RNA interference increased mean lifespan by 58%.;anti;;58;RNA interference;2233: Kim and Sun (2007) "Functional genomic approach to identify novel genes involved in the regulation of oxidative stress resistance and animal lifespan."  Aging Cell 6(4):489-503 (17608836)
1707;856263;KAR3;KARyogamy;Saccharomyces cerevisiae;;YPR141C;;OSR11;increase;Replicative lifespan increased by 55% in the alpha strain ;anti;;55;Deletion;2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
950;174161;kat-1;3-Ketoacyl-coA Thiolase;Caenorhabditis elegans;;T02G5.8;;;decrease;Increased accumulation of the lipofuscin-like fluorescent aging pigment, shortened median lifespan (30% reduction compared to WT). Early behavioral decline, and other abnormalities characteristic of premature aging were observed.;pro;;30;Mutations;2444: Berdichevsky et al. (2010) "3-Ketoacyl thiolase delays aging of Caenorhabditis elegans and is required for lifespan extension mediated by sir-2.1."  Proc. Natl. Acad. Sci. U.S.A. 107(44):18927-18932 (20956318)
822;16491;Kcna3;Potassium voltage-gated channel, shaker-related subfamily, member 3;Mus musculus;;ENSMUSG00000047959;;Mk-3 Kv1.3 Kca1-3;increase;Kv1.3-null mice weigh less than their WT counterparts, have modified ingestive behaviors, are resistant to fat deposition following a moderately high-fat dietary regime and have improved longevity and fecundity. Moreover, gene-targeted deletion of Kv1.3 in MC4R-null mice (36% shorter lifespan compared to WT) returned the lifespan of these mice to approximately WT levels.;anti;;22;Deletion;2163: Tucker et al. (2008) "Kv1.3 gene-targeted deletion alters longevity and reduces adiposity by increasing locomotion and metabolism in melanocortin-4 receptor-null mice."  Int J Obes (Lond) 32(8):1222-1232 (18542083)
859;42062;Keap1;CG3962 gene product from transcript CG3962-RA;Drosophila melanogaster;;FBgn0038475;;CG3962 dkeap1 dKeap1 dKEAP1 Dmel\CG3962 keap1 KEAP;increase;Male keap1 heterozygotes lived significantly longer than their otherwise genetically identical siblings. Female keap1 heterozygotes did not show significant differences in either paraquat resistance or longevity.;anti;;10;Mutations;2401: Sykiotis and Bohmann (2008) "Keap1/Nrf2 signaling regulates oxidative stress tolerance and lifespan in Drosophila."  Dev. Cell 14(1):76-85 (18194654)
860;46027;kermit;CG11546;Drosophila melanogaster;;FBgn0010504;;BEST:LD04728 CG11546 dGIPC dKermit Dmel\CG11546 l(;decrease;Disruption of dGIPC (kermit) function results in premature loss of locomotor activity and reduced mean life span.;pro;;30;Mutations;2402: Kim et al. (2010) "dGIPC is required for the locomotive activity and longevity in Drosophila."  Biochem. Biophys. Res. Commun. 402(3):565-570 (21029723)
1243;855483;KEX2;Killer EXpression defective;Saccharomyces cerevisiae;;YNL238W;;QDS1 SRB1 VMA45;decrease;Mean chronological lifespan decreased in the a strain ;fitness;;;Deletion;2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
1078;854681;KGD1;alpha-KetoGlutarate Dehydrogenase;Saccharomyces cerevisiae;;YIL125W;;OGD1;decrease;Mean chronological lifespan decreased in the a strain by more than 50%;fitness;;50;Deletion;2502: Laschober et al. (2010) "Identification of evolutionarily conserved genetic regulators of cellular aging."  Aging Cell 9(6):1084-1097 (20883526)
1078;854681;KGD1;alpha-KetoGlutarate Dehydrogenase;Saccharomyces cerevisiae;;YIL125W;;OGD1;decrease;Mean replicative lifespan decreased in the alpha and a strain ;fitness;;;Deletion;2500: Fabrizio et al. (2010) "Genome-wide screen in Saccharomyces cerevisiae identifies vacuolar protein sorting, autophagy, biosynthetic, and tRNA methylation genes involved in life span regulation."  PLoS Genet. 6(7):e1001024 (20657825)
395;16591;Kl;Klotho;Mus musculus;Mm.6500;ENSMUSG00000058488;O35082;alpha-kl;increase;Overexpression of Klotho in mice extends life span;pro;;;Overexpression;1485: Kurosu et al. (2005) "Suppression of aging in mice by the hormone Klotho."  Science 309(5742):1829-1833 (16123266)
395;16591;Kl;Klotho;Mus musculus;Mm.6500;ENSMUSG00000058488;O35082;alpha-kl;decrease;Many advanced ageing-like KL -/-  phenotypes are restored to normal whenever Klotho expression is induced. Conversely, decreasing Klotho expression in these rescued KL -/- mice induced several ageing-like KL -/- phenotypes.;pro;;;Conditional knockout;1562: Masuda et al. (2005) "Regulation of multiple ageing-like phenotypes by inducible klotho gene expression in klotho mutant mice."  Mech. Ageing Dev. 126(12):1274-1283 (16144705)
